----------------------Part 1-----------------
For-loop start time=3
For-loop end time=309
Total for-loop execution time=306

--------------------Part 2----------------------
LUT creation time=63628
LUT length (counter)=630

sin value=1.000000
sin value=1.010000
sin value=1.019999
sin value=1.029996
sin value=1.039989
sin value=1.049979
sin value=1.059964
sin value=1.069943
sin value=1.079915
sin value=1.089879
sin value=1.099833
sin value=1.109778
sin value=1.119712
sin value=1.129634
sin value=1.139543
sin value=1.149438
sin value=1.159318
sin value=1.169182
sin value=1.179030
sin value=1.188859
sin value=1.198669
sin value=1.208460
sin value=1.218230
sin value=1.227978
sin value=1.237703
sin value=1.247404
sin value=1.257081
sin value=1.266731
sin value=1.276356
sin value=1.285952
sin value=1.295520
sin value=1.305059
sin value=1.314567
sin value=1.324043
sin value=1.333487
sin value=1.342898
sin value=1.352274
sin value=1.361615
sin value=1.370920
sin value=1.380188
sin value=1.389418
sin value=1.398609
sin value=1.407760
sin value=1.416871
sin value=1.425939
sin value=1.434966
sin value=1.443948
sin value=1.452886
sin value=1.461779
sin value=1.470626
sin value=1.479426
sin value=1.488177
sin value=1.496880
sin value=1.505533
sin value=1.514136
sin value=1.522687
sin value=1.531186
sin value=1.539632
sin value=1.548024
sin value=1.556361
sin value=1.564642
sin value=1.572867
sin value=1.581035
sin value=1.589145
sin value=1.597195
sin value=1.605186
sin value=1.613117
sin value=1.620986
sin value=1.628793
sin value=1.636537
sin value=1.644218
sin value=1.651834
sin value=1.659385
sin value=1.666870
sin value=1.674288
sin value=1.681639
sin value=1.688921
sin value=1.696135
sin value=1.703279
sin value=1.710353
sin value=1.717356
sin value=1.724287
sin value=1.731146
sin value=1.737931
sin value=1.744643
sin value=1.751280
sin value=1.757843
sin value=1.764329
sin value=1.770739
sin value=1.777072
sin value=1.783327
sin value=1.789504
sin value=1.795602
sin value=1.801620
sin value=1.807558
sin value=1.813416
sin value=1.819192
sin value=1.824886
sin value=1.830497
sin value=1.836026
sin value=1.841471
sin value=1.846832
sin value=1.852108
sin value=1.857299
sin value=1.862404
sin value=1.867423
sin value=1.872355
sin value=1.877201
sin value=1.881958
